二人,,,-1000,名詞,一般,*,*,*,*,二人,フタリ,フタリ
一人,,,-1000,名詞,一般,*,*,*,*,一人,ヒトリ,ヒトリ
大人,,,-1000,名詞,一般,*,*,*,*,大人,オトナ,オトナ
玄人,,,-1000,名詞,一般,*,*,*,*,玄人,クロウト,クロート
素人,,,-1000,名詞,一般,*,*,*,*,素人,シロウト,シロート
仲人,,,-1000,名詞,一般,*,*,*,*,仲人,ナコウド,ナコード
一人前,,,-1000,名詞,一般,*,*,*,*,一人前,イチニンマエ,イチニンマエ
今日,,,-1000,名詞,副詞可能,*,*,*,*,今日,キョウ,キョー
昨日,,,-1000,名詞,副詞可能,*,*,*,*,昨日,キノウ,キノー
明日,,,-1000,名詞,副詞可能,*,*,*,*,明日,アシタ,アシタ
明後日,,,-1000,名詞,副詞可能,*,*,*,*,明後日,アサッテ,アサッテ
一昨日,,,-1000,名詞,副詞可能,*,*,*,*,一昨日,オトトイ,オトトイ
一昨昨日,,,-1000,名詞,副詞可能,*,*,*,*,一昨昨日,サキオトトイ,サキオトトイ
一日,,,-1000,名詞,副詞可能,*,*,*,*,一日,ツイタチ,ツイタチ
二日,,,-1000,名詞,副詞可能,*,*,*,*,二日,フツカ,フツカ
三日,,,-1000,名詞,副詞可能,*,*,*,*,三日,ミッカ,ミッカ
四日,,,-1000,名詞,副詞可能,*,*,*,*,四日,ヨッカ,ヨッカ
五日,,,-1000,名詞,副詞可能,*,*,*,*,五日,イツカ,イツカ
六日,,,-1000,名詞,副詞可能,*,*,*,*,六日,ムイカ,ムイカ
七日,,,-1000,名詞,副詞可能,*,*,*,*,七日,ナノカ,ナノカ
八日,,,-1000,名詞,副詞可能,*,*,*,*,八日,ヨウカ,ヨーカ
九日,,,-1000,名詞,副詞可能,*,*,*,*,九日,ココノカ,ココノカ
十日,,,-1000,名詞,副詞可能,*,*,*,*,十日,トオカ,トーカ
二十日,,,-1000,名詞,副詞可能,*,*,*,*,二十日,ハツカ,ハツカ
大晦日,,,-1000,名詞,副詞可能,*,*,*,*,大晦日,オオミソカ,オーミソカ
晦日,,,-1000,名詞,副詞可能,*,*,*,*,晦日,ミソカ,ミソカ
上手,,,-1000,名詞,形容動詞語幹,*,*,*,*,上手,ジョウズ,ジョーズ
下手,,,-1000,名詞,形容動詞語幹,*,*,*,*,下手,ヘタ,ヘタ
真面目,,,-1000,名詞,形容動詞語幹,*,*,*,*,真面目,マジメ,マジメ
立派,,,-1000,名詞,形容動詞語幹,*,*,*,*,立派,リッパ,リッパ
七夕,,,-1000,名詞,固有名詞,一般,*,*,*,七夕,タナバタ,タナバタ
五月雨,,,-1000,名詞,一般,*,*,*,*,五月雨,サミダレ,サミダレ
五月晴れ,,,-1000,名詞,一般,*,*,*,*,五月晴れ,サツキバレ,サツキバレ
時雨,,,-1000,名詞,一般,*,*,*,*,時雨,シグレ,シグレ
梅雨,,,-1000,名詞,一般,*,*,*,*,梅雨,ツユ,ツユ
紅葉,,,-1000,名詞,一般,*,*,*,*,紅葉,モミジ,モミジ
黄昏,,,-1000,名詞,一般,*,*,*,*,黄昏,タソガレ,タソガレ
雪崩,,,-1000,名詞,一般,*,*,*,*,雪崩,ナダレ,ナダレ
田舎,,,-1000,名詞,一般,*,*,*,*,田舎,イナカ,イナカ
八百屋,,,-1000,名詞,一般,*,*,*,*,八百屋,ヤオヤ,ヤオヤ
八百長,,,-1000,名詞,一般,*,*,*,*,八百長,ヤオチョウ,ヤオチョー
海老,,,-1000,名詞,一般,*,*,*,*,海老,エビ,エビ
海苔,,,-1000,名詞,一般,*,*,*,*,海苔,ノリ,ノリ
出汁,,,-1000,名詞,一般,*,*,*,*,出汁,ダシ,ダシ
小豆,,,-1000,名詞,一般,*,*,*,*,小豆,アズキ,アズキ
為替,,,-1000,名詞,一般,*,*,*,*,為替,カワセ,カワセ
名残,,,-1000,名詞,一般,*,*,*,*,名残,ナゴリ,ナゴリ
行方,,,-1000,名詞,一般,*,*,*,*,行方,ユクエ,ユクエ
流石,,,-1000,副詞,助詞類接続,*,*,*,*,流石,サスガ,サスガ
大和,,,-1000,名詞,固有名詞,地域,一般,*,*,大和,ヤマト,ヤマト
富士山,,,-1000,名詞,固有名詞,地域,一般,*,*,富士山,フジサン,フジサン
木綿,,,-1000,名詞,一般,*,*,*,*,木綿,モメン,モメン
木陰,,,-1000,名詞,一般,*,*,*,*,木陰,コカゲ,コカゲ
神楽,,,-1000,名詞,一般,*,*,*,*,神楽,カグラ,カグラ
河岸,,,-1000,名詞,一般,*,*,*,*,河岸,カシ,カシ
早乙女,,,-1000,名詞,一般,*,*,*,*,早乙女,サオトメ,サオトメ
お父さん,,,-1000,名詞,一般,*,*,*,*,お父さん,オトウサン,オトーサン
